Col_1,Col_2,Col_3,Col_4,Col_5,Col_6,Col_7,Team_name,Seed,Col_10,multi_event_points,Col_12,Col_13,Col_14,Col_15,Col_16,Event_sex,Event_name,Seed_numeric,is_lower_better,Rank,score
1,8,Liam,MURPHY,SR,1175.0,Villanova,NOVA,3:33.02,,3:33.02,,Prelims,track,2,m,Men,1500 M,213.02,True,1.0,10.0
2,3,Ethan,STRAND,JR,717.0,North Carolina,UNC,3:33.22,,3:33.22,,Prelims,track,2,m,Men,1500 M,213.22,True,2.0,8.0
1,6,Gary,MARTIN,JR,1184.0,Virginia,UVA,3:33.71,,3:33.71,,Prelims,track,2,m,Men,1500 M,213.71,True,3.0,6.0
1,12,Abel,TEFFRA,SR,333.0,Georgetown,GTWN,3:33.84,,3:33.84,,Prelims,track,2,m,Men,1500 M,213.84,True,4.0,5.0
2,1,Adam,SPENCER,SR,1228.0,Wisconsin,WISC,3:34.57,,3:34.57,,Prelims,track,2,m,Men,1500 M,214.57,True,5.0,4.0
1,1,Nathan,GREEN,JR,1209.0,Washington,WASH,3:35.52,,3:34.79,,Prelims,track,2,m,Men,1500 M,215.52,True,6.0,3.0
1,9,Alex,STITT,SR,756.0,Oklahoma State,OKST,3:36.33,,3:36.33,,Prelims,track,2,m,Men,1500 M,216.32999999999998,True,7.0,2.0
2,5,Reuben,REINA,SO,88.0,Arkansas,ARK,3:36.48,,3:36.48,,Prelims,track,2,m,Men,1500 M,216.48,True,8.0,1.0
2,2,Damian,HACKETT,SR,243.0,Cornell,CORN,3:36.78,,3:36.78,,Prelims,track,2,m,Men,1500 M,216.78,True,9.0,0.0
2,9,Cooper,CAWTHRA,SR,1033.0,Texas A&M,TAMU,3:36.79,,3:36.79,,Prelims,track,2,m,Men,1500 M,216.79,True,10.0,0.0
2,8,Simeon,BIRNBAUM,SO,804.0,Oregon,UO,3:37.02,,3:37.02,,Prelims,track,2,m,Men,1500 M,217.02,True,11.0,0.0
2,12,Harrison,WITT,SR,849.0,Princeton,PRIN,3:37.22,,3:37.22,,Prelims,track,2,m,Men,1500 M,217.22,True,12.0,0.0
2,11,Harvey,CRAMB,SO,640.0,Montana State,MTST,3:37.31,,3:37.31,,Prelims,track,2,m,Men,1500 M,217.31,True,13.0,0.0
2,10,Leo,YOUNG,SO,934.0,Stanford,STAN,3:38.00,,3:38.00,,Prelims,track,2,m,Men,1500 M,218.0,True,14.0,0.0
1,10,Trent,MCFARLAND,SO,603.0,Michigan,MICH,3:38.45,,3:38.45,,Prelims,track,2,m,Men,1500 M,218.45,True,15.0,0.0
1,4,Garrett,MACQUIDDY,SR,204.0,California,CAL,3:38.50,,3:38.50,,Prelims,track,2,m,Men,1500 M,218.5,True,16.0,0.0
1,7,Brendan,HERGER,FR,601.0,Michigan,MICH,3:38.72,,3:38.72,,Prelims,track,2,m,Men,1500 M,218.72,True,17.0,0.0
1,5,Colin,SAHLMAN,JR,708.0,Northern Arizona,NAU,3:39.41,,3:33.96,,Prelims,track,2,m,Men,1500 M,219.41,True,18.0,0.0
2,7,Martin,SEGUROLA,JR,443.0,Indiana,IU,3:39.54,,3:39.54,,Prelims,track,2,m,Men,1500 M,219.54,True,19.0,0.0
2,6,Duncan,ROBINSON,SO,444.0,Iona,IONA,3:40.04,,3:40.04,,Prelims,track,2,m,Men,1500 M,220.04,True,20.0,0.0
1,2,Michael,DANZI,SR,726.0,Notre Dame,ND,3:40.05,,3:40.05,,Prelims,track,2,m,Men,1500 M,220.05,True,21.0,0.0
2,4,Ferenc,KOVACS,SO,382.0,Harvard,HARV,3:40.08,,3:40.08,,Prelims,track,2,m,Men,1500 M,220.07999999999998,True,22.0,0.0
1,3,Jack,CRULL,SR,167.0,Bradley,BRAD,3:40.51,,3:40.51,,Prelims,track,2,m,Men,1500 M,220.51,True,23.0,0.0
1,11,Davis,HELMERICH,SR,82.0,Arkansas,ARK,3:40.70,,3:40.70,,Prelims,track,2,m,Men,1500 M,220.7,True,24.0,0.0
3,6,Makanakaishe,CHARAMBA,SR,122.0,Auburn,AUB,19.79,,19.79,,Prelims,track,9,m,Men,200 M,19.79,True,1.0,10.0
2,6,T'Mars,MCCALLUM,JR,991.0,Tennessee,TENN,19.83,,19.83,,Prelims,track,9,m,Men,200 M,19.83,True,2.0,8.0
1,6,Garrett,KAALUND,JR,1130.0,USC,USC,19.85,,19.85,,Prelims,track,9,m,Men,200 M,19.85,True,3.0,6.0
1,5,Carli,MAKARAWU,JR,515.0,Kentucky,UK,19.92,,19.92,,Prelims,track,9,m,Men,200 M,19.92,True,4.0,5.0
3,5,Jordan,ANTHONY,SO,78.0,Arkansas,ARK,19.93,,19.93,,Prelims,track,9,m,Men,200 M,19.93,True,5.0,4.0
2,8,Abdul-Rasheed,SAMINU,SR,920.0,South Florida,USF,19.95,,19.95,,Prelims,track,9,m,Men,200 M,19.95,True,6.0,2.5
3,4,Jaleel,CROAL,JR,911.0,South Florida,USF,19.95,,19.95,,Prelims,track,9,m,Men,200 M,19.95,True,6.0,2.5
2,9,Jaiden,REID,SO,563.0,LSU,LSU,19.97,,19.97,,Prelims,track,9,m,Men,200 M,19.97,True,8.0,1.0
2,7,Xavier,BUTLER,SO,1009.0,Texas,TEX,20.02,,20.02,,Prelims,track,9,m,Men,200 M,20.02,True,9.0,0.0
3,7,Max,THOMAS,JR,1136.0,USC,USC,20.05,,20.05,,Prelims,track,9,m,Men,200 M,20.05,True,10.0,0.0
1,7,Jamarion,STUBBS,JR,14.0,Alabama State,ALST,20.11,,19.95,,Prelims,track,9,m,Men,200 M,20.11,True,11.0,0.0
3,8,Cameron,MILLER,JR,856.0,Purdue,PURD,20.12,,20.12,,Prelims,track,9,m,Men,200 M,20.12,True,12.0,0.0
1,3,Dario,MATAU,SR,125.0,Auburn,AUB,20.19,,20.19,,Prelims,track,9,m,Men,200 M,20.19,True,13.0,0.0
1,9,Jelani,WATKINS,FR,569.0,LSU,LSU,20.24,,20.24,,Prelims,track,9,m,Men,200 M,20.24,True,14.0,0.0
